
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
397	2x	DNAseI_hypersensitive_site	2649.4	6914.7	3
398	2x	DNAseI_hypersensitive_site	2637.4	6330.1	3
399	2x	DNAseI_hypersensitive_site	2566.6	5539.7	3
400	2x	DNAseI_hypersensitive_site	6261.9	24202.8	3
401	2x	DNAseI_hypersensitive_site	2536.5	3896.5	3
402	2x	DNAseI_hypersensitive_site	6928.7	13709.7	3
403	2x	DNAseI_hypersensitive_site	1259.7	1849.4	4
404	2x	DNAseI_hypersensitive_site	4858.5	10395.8	4
405	2x	DNAseI_hypersensitive_site	2287.2	6402.2	4
406	2x	DNAseI_hypersensitive_site	3560.0	9504.1	4
407	2x	DNAseI_hypersensitive_site	8348.2	22576.7	4
408	2x	DNAseI_hypersensitive_site	7726.2	24067.5	4
409	2x	DNAseI_hypersensitive_site	3760.2	10464.9	4
410	2x	DNAseI_hypersensitive_site	4760.0	13171.7	4
411	2x	DNAseI_hypersensitive_site	5011.1	14466.7	4
412	2x	DNAseI_hypersensitive_site	8179.8	24366.3	4
413	2x	DNAseI_hypersensitive_site	9388.4	34099.2	4
414	2x	DNAseI_hypersensitive_site	10845.1	31829.0	4
415	2x	DNAseI_hypersensitive_site	3994.9	11826.4	4
416	2x	DNAseI_hypersensitive_site	6127.3	27489.9	4
417	2x	DNAseI_hypersensitive_site	8671.4	28400.7	4
418	2x	DNAseI_hypersensitive_site	4774.8	14013.3	4
419	2x	DNAseI_hypersensitive_site	2382.0	5017.3	4
420	2x	DNAseI_hypersensitive_site	1991.7	3209.0	4
421	2x	DNAseI_hypersensitive_site	11973.9	40733.5	4
